Price,Year,Mileage,State,Make
13991,2016,26651, TX,Chevrolet
28877,2015,42237, TX,Ford
24999,2015,28826, FL,Mercedes-Benz
12988,2013,25733, CA,Hyundai
38915,2015,58239, AZ,Ford
10999,2012,63500, NV,Mazda
10995,2013,67369, TX,Nissan
15499,2014,35857, CA,Honda
27593,2014,36187, IL,Cadillac
16895,2016,30330, MS,Toyota
29490,2014,31628, TX,Ford
19991,2015,10167, NJ,Subaru
12397,2009,107665, CA,Toyota
15726,2014,14579, KS,Nissan
8900,2001,230976, CO,Ford
13999,2014,82702, CO,Chevrolet
28995,2017,19015, NJ,Volvo
24975,2010,99915, MN,Chevrolet
14000,2008,66290, TX,Chevrolet
28948,2015,29297, CO,Ram
12995,2014,18628, NJ,Hyundai
16998,2015,40144, TX,Chevrolet
15425,2011,41576, FL,Mercedes-Benz
28987,2014,60447, OR,Ram
29899,2014,37112, NJ,BMW
7998,2010,152499, NC,Chrysler
17985,2013,73677, NJ,GMC
1992,2003,189441, MN,Mitsubishi
29000,2015,1791, KY,Toyota
10499,2013,68474, NC,Honda
20495,2015,48948, TX,Ford
10682,2016,69010, TX,Hyundai
32515,2017,39250, PA,Ford
16633,2015,44540, TN,Hyundai
11995,2013,46735, OK,Nissan
21889,2011,50420, NV,Chevrolet
18995,2013,23542, IN,Buick
15700,2016,40208, KY,Kia
36999,2015,25960, AR,Jeep
19382,2014,38401, GA,Chevrolet
13159,2015,18400, CA,Toyota
28229,2017,2491, NV,Volkswagen
13737,2016,28433, TN,Hyundai
17550,2015,40614, TX,Nissan
13499,2013,63958, AL,Nissan
11515,2013,48487, IN,Chevrolet
15895,2015,12328, HI,Nissan
18995,2015,21098, IL,Jeep
32346,2014,53533, NM,Ford
5777,2002,134404, VA,Acura
14999,2014,55880, NM,Dodge
12788,2014,60068, NC,Dodge
28800,2016,12325, AZ,GMC
28990,2014,67268, OH,Toyota
24582,2017,38352, OH,Nissan
17883,2011,78221, NY,Toyota
29995,2014,32124, NY,Toyota
6400,2005,157850, FL,Lexus
9995,2005,106315, VA,Nissan
41179,2017,8123, VA,Ford
25995,2012,47608, HI,Jeep
27980,2014,41833, PA,INFINITI
27998,2013,60972, MA,Lexus
6995,2004,165217, CA,Chevrolet
30993,2016,18380, UT,Ford
25997,2015,34233, TX,Kia
20000,2017,22155, AZ,Nissan
20990,2016,32945, FL,Ford
49995,2011,47724, AZ,Mercedes-Benz
8100,2014,31920, KS,Ford
33797,2015,27037, CA,Lexus
29188,2015,16862, HI,Ford
15999,2016,44968, FL,Chevrolet
27000,2016,31678, NC,Toyota
21995,2017,27960, NY,Chevrolet
30982,2013,11150, TX,BMW
6995,2006,153788, IL,Honda
16995,2014,27499, WI,Ford
30190,2015,24017, AZ,Lincoln
18451,2014,91092, TX,Chevrolet
33975,2012,39745, WA,Ford
21999,2013,71401, CO,BMW
44850,2015,38213, OR,Chevrolet
19900,2010,62483, CO,Chevrolet
11988,2016,41934, TX,Nissan
17590,2013,76914, MA,GMC
31104,2017,26587, DE,Volvo
11498,2017,8235, AZ,Nissan
14780,2014,51066, PA,Jeep
14899,2014,62455, IL,Buick
27995,2015,23378, NJ,Mercedes-Benz
12250,2015,34119, KY,Chevrolet
8995,2012,66123, OR,Chrysler
34975,2014,18510, NJ,INFINITI
39996,2015,17980, TX,Ram
20995,2015,14661, AL,Toyota
22995,2015,33364, HI,Chrysler
17995,2014,13170, NY,Chevrolet
39990,2014,61293, GA,Jaguar
29999,2016,27825, IA,Toyota
25448,2014,83110, UT,Toyota
21988,2014,56117, IN,Ram
10498,2010,110935, MA,Jeep
11999,2013,68655, OR,Nissan
21498,2015,17260, WI,Toyota
7500,2009,111100, KS,Ford
15795,2014,42341, AL,Toyota
10838,2005,137922, IL,Nissan
14616,2014,29972, TX,Chevrolet
28995,2014,44000, NY,GMC
8990,2008,49252, FL,Volkswagen
27987,2014,25308, NC,Jeep
11277,2011,90161, AZ,Kia
15000,2015,15449, IL,Hyundai
10987,2010,131469, GA,Toyota
7451,2007,141511, AZ,Toyota
27995,2014,29584, OR,Cadillac
33967,2017,7222, TX,BMW
17000,2015,23442, KY,Chevrolet
21990,2016,42112, CA,BMW
13825,2016,38536, TN,Nissan
41650,2015,18949, MD,Ford
16087,2010,71199, IL,Audi
11688,2010,4812, CA,Toyota
6998,2006,142115, TN,Honda
3991,2001,136292, PA,Toyota
29588,2015,19556, NM,Ram
16991,2015,43542, TX,Jeep
26777,2015,29254, MI,Chevrolet
20423,2016,49085, NC,Toyota
12999,2014,28219, FL,Volkswagen
43989,2015,17468, SC,Mercedes-Benz
10995,2012,64982, WA,MINI
11466,2016,13026, MD,Volkswagen
14684,2014,27152, NH,Nissan
19988,2015,7353, NV,Volkswagen
16250,2015,33137, KY,Chevrolet
8991,2007,130000, TX,Cadillac
35435,2017,19256, TX,Volvo
25997,2014,44872, FL,GMC
5995,2006,136110, MD,Hyundai
17383,2014,35216, FL,Honda
8950,2007,142064, NM,Toyota
13990,2014,36373, NJ,Honda
41994,2014,33728, CO,GMC
20500,2014,29999, CT,Ford
5995,2006,122363, NC,Volvo
24952,2016,35871, MA,Mazda
11998,2008,107115, WA,Honda
20000,2014,42075, MN,BMW
9988,2004,135720, ID,INFINITI
1950,2003,167664, PA,Chevrolet
20500,2016,38588, GA,Ram
10975,2013,44600, MN,Volkswagen
16226,2013,34238, WI,Kia
27399,2015,30773, WI,Ford
29421,2015,29406, WA,Chevrolet
13565,2016,25327, KY,Volkswagen
9532,2011,73456, AL,Hyundai
15999,2016,36322, TX,Jeep
19877,2016,26789, NC,Jeep
7612,2008,132275, VA,Honda
22900,2014,34997, UT,Acura
15250,2014,27209, PA,Chevrolet
24999,2012,53670, WA,Ram
34500,2014,87285, FL,Ram
16250,2013,54094, KY,Ford
13500,2014,55862, KY,Kia
18995,2001,55332, NV,Chevrolet
10990,2013,58521, TN,Chrysler
11383,2005,142347, NE,Ford
43973,2017,9785, TN,Chevrolet
33993,2017,15520, MS,BMW
8500,2012,44197, CA,Ford
28984,2014,27344, NH,Jeep
37245,2015,57359, TX,Toyota
18697,2009,110389, CA,Chevrolet
57995,2016,24088, SD,GMC
7899,2012,94152, MD,Kia
17000,2010,75892, AL,Ford
15499,2017,11934, NC,Chevrolet
18955,2016,28074, TX,Nissan
21998,2010,98091, NH,GMC
21791,2016,38510, AZ,Ford
18903,2010,109831, TN,Ford
29333,2012,76154, CO,Ford
6995,2007,72745, NC,Pontiac
17233,2017,26868, GA,Chevrolet
11337,2014,37514, MD,Chevrolet
14498,2013,42868, NC,Toyota
13998,2014,101000, CA,Toyota
28951,2013,34312, TN,Toyota
30500,2013,72787, MO,GMC
32750,2016,7185, MS,Toyota
15498,2012,117476, TN,Honda
34950,2016,26634, TN,Toyota
15750,2015,27455, AL,Nissan
7988,2007,150689, FL,Honda
38500,2017,15839, NC,Ford
14997,2012,65176, AR,Chevrolet
14485,2014,37162, CA,Toyota
8495,2006,168752, NV,Toyota
18797,2014,30300, TX,Honda
8853,2012,91582, MD,Mazda
11990,2012,137042, NC,BMW
14000,2015,36028, NC,Kia
16900,2014,27667, WI,Honda
33777,2013,54292, MS,Jeep
24990,2014,42412, OH,Toyota
16765,2012,89280, MS,Ford
53782,2015,19279, VA,INFINITI
12888,2014,93366, TX,Nissan
23995,2017,12807, TX,Honda
11995,2014,36780, CT,Volkswagen
13800,2015,24087, MI,Chevrolet
42990,2014,39864, VA,Chevrolet
34539,2017,18667, TX,Lincoln
30750,2015,31910, TX,Honda
23939,2017,41023, WA,Ford
13799,2016,38740, CA,Toyota
36995,2015,34828, DE,Ram
8995,2010,109654, OK,Dodge
31998,2015,108086, FL,Ram
30977,2014,21075, GA,Hyundai
29977,2014,40954, NY,Chevrolet
28689,2014,44759, GA,Ford
13895,2015,30595, VA,Nissan
16733,2017,36422, OR,Chevrolet
32988,2014,6453, NH,Cadillac
28885,2017,19538, CA,Ram
3999,2000,97721, VA,Toyota
8494,2013,65446, NH,Kia
16995,2007,148076, NC,Ford
23884,2016,5608, PA,Mazda
35990,2014,40715, TX,Chevrolet
37995,2013,46065, MT,Ram
13995,2010,82000, AZ,Honda
15480,2015,28510, OK,Honda
16981,2008,69623, TX,Porsche
5850,2005,296569, VA,Toyota
18991,2014,26422, FL,Honda
12795,2016,35127, MO,Toyota
18690,2015,24738, MI,Volkswagen
28597,2016,29832, AL,Buick
12495,2010,94321, TX,Audi
14972,2014,27916, NC,Hyundai
12000,2009,100997, VA,BMW
46900,2017,19245, MO,Chevrolet
16995,2016,18700, OH,Nissan
15000,2007,127104, FL,Chevrolet
21995,2012,67904, AZ,Jeep
10993,2014,55228, WA,Ford
12900,2011,144935, NC,Nissan
29500,2014,33732, IA,Chevrolet
21495,2016,4279, AL,Mazda
11500,2015,45449, IN,Hyundai
12995,2013,72864, PA,Toyota
21999,2013,79671, CA,Jeep
42777,2017,14197, PA,Buick
18999,2014,25131, IL,Ford
23980,2013,46744, VA,BMW
29988,2014,45882, TN,Chevrolet
17597,2016,33549, PA,Jeep
8980,2008,112365, FL,Honda
26845,2014,39809, TN,Jeep
38900,2014,35985, OR,Mercedes-Benz
8988,2012,58709, PA,Ford
9990,2008,94966, IN,Hyundai
8991,2007,105683, TX,Honda
40995,2016,26718, AZ,Ford
22830,2015,37801, MA,INFINITI
8495,2005,125349, CA,INFINITI
40900,2015,19922, AR,Jeep
21986,2009,29502, SC,Chevrolet
13995,2014,7931, VA,Chevrolet
25900,2017,25574, GA,Chrysler
16497,2015,33838, CA,Toyota
24507,2013,60719, AR,Toyota
38798,2016,30956, TX,Ram
36000,2017,20458, MA,BMW
39499,2016,20761, FL,Ford
26886,2017,25870, IN,Chevrolet
13440,2013,76200, AZ,Ford
42005,2015,45309, NM,Ford
16770,2015,49695, FL,Toyota
6994,2007,125189, AZ,Hyundai
20996,2017,23926, MS,Nissan
16406,2015,23515, WA,Toyota
7400,2012,77492, UT,Ford
25300,2015,65313, MI,Buick
26077,2017,16133, WA,Kia
34390,2015,39789, MI,Jeep
17600,2013,70333, AZ,Toyota
48650,2015,38688, MD,Jeep
11888,2012,96370, AZ,INFINITI
16890,2015,15670, IL,Jeep
19000,2017,27590, CO,Hyundai
13694,2016,22656, OR,Nissan
19995,2005,83738, MA,BMW
38900,2015,77357, MS,Toyota
9000,2013,42615, TX,Kia
12800,2015,51586, NH,Chevrolet
24688,2016,37555, NV,Chevrolet
11900,2013,35464, TX,Nissan
43499,2016,29510, NC,Lexus
51895,2015,19271, LA,Ford
56991,2017,9, TX,Jeep
23993,2015,24767, TX,Toyota
15995,2013,104892, TX,Ford
21995,2014,44431, ME,Ford
23927,2014,39581, MS,Kia
33893,2016,28052, OK,Toyota
7960,2009,136313, IN,Toyota
16000,2015,33561, MD,Nissan
8450,2010,107474, MN,Dodge
9900,2012,108499, TX,Dodge
14790,2015,24677, IN,Chevrolet
27791,2017,22875, PA,Chevrolet
11000,2015,69625, PA,Dodge
14988,2015,34412, CA,Chrysler
15995,2011,54270, WA,Toyota
13990,2015,77860, IA,Chevrolet
10988,2012,67783, VA,Chevrolet
24655,2014,28700, CA,Dodge
7775,2012,113540, OH,Chevrolet
22989,2012,131055, NC,Ford
11995,2014,19936, NY,Nissan
28995,2017,9211, CA,Volvo
22803,2015,27235, CA,Subaru
24888,2016,18630, OH,Mazda
11499,2013,32916, VA,Hyundai
12845,2016,33281, WA,Chrysler
15999,2012,45408, IL,INFINITI
27000,2014,31659, GA,BMW
26990,2015,24539, FL,Mercedes-Benz
14388,2014,21485, AR,Honda
8650,2011,101167, TN,Toyota
39986,2017,20, GA,Ford
7995,2007,118159, WA,Mazda
18587,2015,34872, TX,Jeep
32900,2015,28859, IL,Honda
16000,2016,49998, IL,Kia
28515,2016,17925, CA,Ford
22993,2015,51705, FL,Subaru
